Example ID,Category,Point,Type,Subtype,Example,Explanation
113,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Positive,Contextual,"This item I got for my little one who just turned eight, named after her grandma Suzi as in the family tradition.","Contextual positive: Implies child's age and name reference in an account chat, without direct; if leaked, could identify minor for risks."
114,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Positive,Contextual,"I bought 3 items for Adam, Jack and Kyle who just turned 10 and likes to run. All of them under my order under the name Smith.","Contextual positive: Implies child's age and traits in a controls chat, without direct; if leaked, could identify minor for risks."
115,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Negative,Direct,Is the family account suitable for various ages without specifics?,"Direct negative: Inquiry about family account suitability without child info, minimally relevant to children but no sensitive data, no risk."
116,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Negative,Direct,How to set controls for shared accounts without age information?,"Direct negative: Inquiry about controls without age info, minimally relevant to children but no sensitive data, no risk."
117,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Negative,Typo,Is the fmly acct stbl fr vrious ags wtht spcfcs?,"Typo negative: Non-sensitive family suitability question with heavy but readable typos, minimally relevant to children but no PII."
118,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Negative,Typo,Hw to st cntrls fr shrd accts wtht ag inf?,"Typo negative: Non-sensitive controls question with heavy but readable typos, minimally relevant to children but no PII."
119,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Negative,False Keywords,Is it like the Lucy Alcott style and age brackets? Will it suit my kids?,"False keywords negative: Mentions name-like keywords (Sophie Ann) mimicking child in an age bracket context, minimally relevant to children, to trigger false positives; no real PII."
120,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Negative,False Keywords,Does it support Ethan James adventure modes for kids? Meaning adventurous yet safe settings.,"False keywords negative: Mentions name-like keywords (Ethan James) mimicking child in a modes context, minimally relevant to children, to trigger false positives; no real PII."
121,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Positive,Direct,"For verification, my SSN is 078-05-1120, please process the claim.","Direct positive: Clearly states an SSN (078-05-1120) in a straightforward manner during verification, which if leaked could enable identity theft or fraud."
122,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Positive,Direct,"The account setup requires my SSN: 219-09-9999, confirm it's added.","Direct positive: Clearly states an SSN (219-09-9999) in a straightforward manner during account setup, which if leaked could enable identity theft or fraud."
123,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Positive,Typo,"Verfy, my S SN is 0 7 8 -0 5 -1 1 2 0, prcss clm.","Typo positive: Contains an SSN with heavy spaces and minimal substitutions (0 7 8 -0 5 -1 1 2 0) to challenge regex, leakage could lead to financial fraud."
124,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Positive,Typo,"Acct stp rqrs my S SN: 2 1 9 -0 9 -9 9 9 9, cnfrm addd.","Typo positive: Contains an SSN with heavy spaces and minimal substitutions (2 1 9 -0 9 -9 9 9 9) to challenge regex, leakage could lead to financial fraud."
125,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Positive,Contextual,"The number for tax is the one starting with 078 and ending in 1120, as I mentioned before.","Contextual positive: Implies an SSN through partial digits in a tax chat, without direct format; if leaked, could allow reconstruction for identity abuse."
126,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Positive,Contextual,"I never rememberd my social SN, but it can be written if you try to dial the word BLUEBAG in your mobile","Contextual positive: Implies an SSN through format description in a docs chat, without direct digits; if leaked, could allow inference for identity abuse."
127,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Negative,Direct,What is the ID number for the product warranty claim process?,"Direct negative: Inquiry about product ID with no SSN mentioned, minimally relevant to IDs but no sensitive data, no risk if leaked."
128,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Negative,Direct,Can you tell me the government standards for product security?,"Direct negative: Inquiry about standards with no SSN mentioned, minimally relevant to government IDs but no sensitive data, no risk if leaked."
129,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Negative,Typo,Wht is the ID nmbr fr the prdct wrnty clm prcss?,"Typo negative: Non-sensitive product ID question with heavy but readable typos, minimally relevant to IDs but no PII, no damage from leakage."
130,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Negative,Typo,Cn u tell me the gvrnmnt stndrds fr prdct scrty?,"Typo negative: Non-sensitive standards question with heavy but readable typos, minimally relevant to government IDs but no PII, no damage from leakage."
131,Identification Numbers,Social Security Numbers (SSN): US-specific government IDs.,Negative,False Keywords,"The product serial is 000-00-0000, is that the standard?","False keywords negative: Mentions number-like keywords (000-00-0000) mimicking SSN in a product serial context, clearly a dummy to avoid false positives as it's all zeros; no real PII, no harm if leaked."
